ceshi,#genre#
浙江电视台影视娱乐频道, http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江电视台影视娱乐频道, http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江6频道民生休闲频道, http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江6频道民生休闲频道, http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻频道, http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江6频道民生休闲频道, http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻频道, http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江新闻频道, http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江电视台少儿频道, http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江电视台少儿频道, http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江电视台少儿频道, http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际频道, http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江国际频道, http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江国际频道, http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
萧山综合频道, http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山生活频道, http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
余杭未来频道, http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
余杭新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
临平新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
象山电视台新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
余姚新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
苍南新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
余姚姚江文化频道, http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
文成新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
永嘉新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
绍兴文化影视频道, http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴电视台公共频道, http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合频道, http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
新昌新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
新昌生活频道, http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
上虞新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
嵊州新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
上虞文化影视频道, http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
上虞新商都频道, http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
东阳影视生活频道, http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
武义新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8
兰溪新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
龙游新闻综合频道, https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游生活娱乐频道, https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
开化新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
开化国家公园频道, http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
衢江新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
平湖新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
平湖民生休闲频道, http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8

青田电视台, http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
遂昌新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
松阳新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
庆元新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
缙云新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8

龙泉新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
云和新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
普陀电视台, http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
嵊泗新闻综合频道, http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
菏泽一套新闻综合频道, http://live.hznet.tv:1935/live/live1/500K/tzwj_video.m3u8
烟台公共频道, http://live.yantaitv.cn/live/e50f104a4ffe4a41b2217cbda534146f/d86092e69df94668b33390278b061700-1.m3u8
菏泽二套经济生活频道, http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
烟台影视频道, http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
哈尔滨生活频道, http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨娱乐频道, http://stream.hrbtv.net/ylpd/sd/live.m3u8
哈尔滨新闻综合频道, http://stream.hrbtv.net/xwzh/sd/live.m3u8
上海东方购物频道, http://ocj2.kksmg.com/ocj1/ocj1.m3u8
上海东方购物频道, http://ocj2.kksmg.com/ocj1/ocj1.m3u8
哈尔滨影视频道, http://stream.hrbtv.net/yspd/sd/live.m3u8

文山新闻综合频道, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
砚山电视台, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel16/playlist.m3u8

西畴电视台, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel11/playlist.m3u8
麻栗坡电视台, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
广南电视台, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel19/playlist.m3u8
文山公共频道, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel8/playlist.m3u8
富宁电视台, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel13/playlist.m3u8
广安公共频道, http://live1.gatv.com.cn:85/live/GGPD.m3u8
广安新闻综合频道, http://live1.gatv.com.cn:85/live/XWZH.m3u8
广安公共频道, http://live1.gatv.com.cn:85/live/GGPD.m3u8
丘北电视台, http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel14/playlist.m3u8
泸州公共频道, http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8
泸州科教频道, http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
登封新闻综合频道, http://live.dxhmt.cn:9081/tv/10185-1.m3u8
新密新闻综合频道, http://live.dxhmt.cn:9081/tv/10183-2.m3u8
巩义新闻综合频道, http://live.dxhmt.cn:9081/tv/10181-1.m3u8
滑县一套新闻综合频道, http://live.dxhmt.cn:9081/tv/10526-1.m3u8
林州新闻综合频道, http://live.dxhmt.cn:9081/tv/10581-1.m3u8
内黄新闻综合频道, http://live.dxhmt.cn:9081/tv/10527-1.m3u8
荥阳新闻综合频道, http://live.dxhmt.cn:9081/tv/10182-1.m3u8
汤阴新闻综合频道, http://live.dxhmt.cn:9081/tv/10523-1.m3u8
汝阳综合频道, http://tvpull.dxhmt.cn:9081/tv/10326-1.m3u8
汝阳综合频道, http://tvpull.dxhmt.cn:9081/tv/10326-1.m3u8
宜阳综合频道, http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
宜阳综合频道, http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
新安电视台综合频道, http://tvpull.dxhmt.cn/tv/10323-1.m3u8
栾川新闻综合频道, http://live.dxhmt.cn:9081/tv/10324-1.m3u8
新安电视台综合频道, http://tvpull.dxhmt.cn/tv/10323-1.m3u8

淇县电视台, http://tvpull.dxhmt.cn:9081/tv/10622-1.m3u8
淇县电视台, http://tvpull.dxhmt.cn:9081/tv/10622-1.m3u8
浚县电视台, http://live.dxhmt.cn:9081/tv/10621-1.m3u8
长垣新闻综合频道, http://live.dxhmt.cn:9081/tv/10728-1.m3u8
新乡县新闻综合频道, http://live.dxhmt.cn:9081/tv/10721-1.m3u8
原阳新闻综合频道, http://live.dxhmt.cn:9081/tv/10725-1.m3u8
焦作新闻综合频道, http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
封丘一套新闻综合频道, http://live.dxhmt.cn:9081/tv/10727-1.m3u8
焦作公共频道, http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
沁阳新闻综合频道, http://live.dxhmt.cn:9081/tv/10882-1.m3u8
灵宝新闻综合频道, http://live.dxhmt.cn:9081/tv/11282-1.m3u8
武陟新闻综合频道, http://live.dxhmt.cn:9081/tv/10823-1.m3u8
义马新闻综合频道, http://live.dxhmt.cn:9081/tv/11281-1.m3u8
孟州新闻综合频道, http://live.dxhmt.cn:9081/tv/10883-1.m3u8
渑池新闻综合频道, http://live.dxhmt.cn:9081/tv/11221-1.m3u8
开封公共频道, http://live.dxhmt.cn:9081/tv/10200-3.m3u8
兰考新闻综合频道, http://live.dxhmt.cn:9081/tv/10225-1.m3u8
通许新闻综合频道, http://live.dxhmt.cn:9081/tv/10222-1.m3u8
尉氏新闻综合频道, http://live.dxhmt.cn:9081/tv/10223-1.m3u8
杞县新闻综合频道, http://live.dxhmt.cn:9081/tv/10221-1.m3u8
建安新闻综合频道, http://live.dxhmt.cn:9081/tv/11003-1.m3u8
开封公共频道, http://live.dxhmt.cn:9081/tv/10200-3.m3u8
永城新闻综合频道, http://live.dxhmt.cn:9081/tv/11481-1.m3u8
郏县新闻综合频道, http://live.dxhmt.cn:9081/tv/10425-1.m3u8
襄城新闻综合频道, http://live.dxhmt.cn:9081/tv/11025-1.m3u8
鄢陵新闻综合频道, http://live.dxhmt.cn:9081/tv/11024-1.m3u8
宝丰新闻综合频道, http://live.dxhmt.cn:9081/tv/10421-1.m3u8
鲁山新闻综合频道, http://live.dxhmt.cn:9081/tv/10423-1.m3u8

叶县电视台一套, http://live.dxhmt.cn:9081/tv/10422-1.m3u8
舞钢一套新闻综合频道, http://live.dxhmt.cn:9081/tv/10481-1.m3u8
鹿邑综合频道, http://live.dxhmt.cn:9081/tv/11628-1.m3u8
西华综合频道, http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8
项城综合频道, http://live.dxhmt.cn:9081/tv/11681-1.m3u8
西华综合频道, http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8
沈丘新闻综合频道, http://live.dxhmt.cn:9081/tv/11624-1.m3u8
唐河一套新闻综合频道, http://live.dxhmt.cn:9081/tv/11328-1.m3u8
方城一套新闻综合频道, http://live.dxhmt.cn:9081/tv/11322-1.m3u8
舞阳新闻综合频道, http://live.dxhmt.cn:9081/tv/11121-1.m3u8
新野新闻综合频道, http://live.dxhmt.cn:9081/tv/11329-1.m3u8
平舆新闻综合频道, http://live.dxhmt.cn:9081/tv/11723-1.m3u8
镇平新闻综合频道, http://live.dxhmt.cn:9081/tv/11324-1.m3u8
上蔡一套新闻综合频道, http://live.dxhmt.cn:9081/tv/11722-1.m3u8
淅川新闻综合频道, http://live.dxhmt.cn:9081/tv/11326-1.m3u8
遂平一套新闻综合频道, http://live.dxhmt.cn:9081/tv/11728-1.m3u8
西平新闻综合频道, http://live.dxhmt.cn:9081/tv/11721-1.m3u8
光山新闻综合频道, http://live.dxhmt.cn:9081/tv/11522-1.m3u8
新蔡新闻综合频道, http://live.dxhmt.cn:9081/tv/11729-1.m3u8
淮滨新闻综合频道, http://live.dxhmt.cn:9081/tv/11527-1.m3u8

罗山新闻综合频道, http://live.dxhmt.cn:9081/tv/11521-1.m3u8
潢川新闻综合频道, http://live.dxhmt.cn:9081/tv/11526-1.m3u8
济源电视台一套, http://live.dxhmt.cn:9081/tv/19001-1.m3u8
新县新闻综合频道, http://live.dxhmt.cn:9081/tv/11523-1.m3u8
荆门教育频道, http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
荆门教育频道, http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
荆门新闻频道, https://stream.jmtv.com.cn/xwzh/playlist.m3u8?_upt=9f2185b81719052160
万州综合频道, http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
荣昌综合频道, http://183.64.181.25:40023/rongchang01.m3u8

万州三峡移民频道, http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
万州综合频道, http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
万州科教频道, http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
万州三峡移民频道, http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
万州影视文艺频道, http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
垫江综合频道, http://125.62.24.185:80/1.m3u8
张家口一套新闻综合频道, http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
张家口二套公共频道, http://nlive.zjkgdcs.com:8091/live/zjktv2.m3u8

南宁新闻综合频道, http://hls.nntv.cn/nnlive/XWZH_24.m3u8

南宁都市生活频道, http://hls.nntv.cn/nnlive/WLSH_24.m3u8

南宁影视娱乐频道, http://hls.nntv.cn/nnlive/YSYL_244.m3u8

南宁公共频道, http://hls.nntv.cn/nnlive/GGPD_24.m3u8
西宁新闻综合频道, https://liveout.xntv.tv/a65jur/96iln2.m3u8
西宁生活服务频道, https://liveout.xntv.tv/a65jur/90p2i1.m3u8


lylehust-IPv6,#genre#
CCTV-1 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-3 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-3 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-4 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-5 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5+ HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-5+ HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-6 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-6 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-7 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-7 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-8 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-8 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-9 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-10 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-12 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV-14 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-17 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
北京卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
湖南卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
江苏卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
江苏卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
浙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8
浙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8
东方卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226261/index.m3u8
东方卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226261/index.m3u8
东方卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226261/index.m3u8
安徽卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
安徽卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
黑龙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
黑龙江卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
辽宁卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
深圳卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
深圳卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
广东卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
广东卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
天津卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
湖北卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
山东卫视 HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
熊猫频道,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226349/index.m3u8
上海纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
北京冬奥纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
SiTV全纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226580/index.m3u8
SiTV极速汽车,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226574/index.m3u8
SiTV极速汽车,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226574/index.m3u8
SiTV游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8
SiTV都市剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8
体育赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226803/index.m3u8
精彩体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8
圆点生活,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226552/index.m3u8
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
SiTV欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
信号测试1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8
信号测试2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8
IPTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226345/index.m3u8
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225783/index.m3u8
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225783/index.m3u8
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225783/index.m3u8
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225783/index.m3u8
CCTV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225762/index.m3u8
CCTV-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225782/index.m3u8
CCTV-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225782/index.m3u8
CCTV-4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225781/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225780/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225780/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225780/index.m3u8
CCTV-6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225779/index.m3u8
CCTV-6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225779/index.m3u8
CCTV-7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225778/index.m3u8
CCTV-8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225759/index.m3u8
CCTV-8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225759/index.m3u8
CCTV-9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225758/index.m3u8
CCTV-10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225777/index.m3u8
CCTV-11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV-11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV-12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225775/index.m3u8
CCTV-13 News,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13 News,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13 News,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225784/index.m3u8
CCTV-15 Music,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226208/index.m3u8
IPTV3+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226341/index.m3u8
IPTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226342/index.m3u8
IPTV6+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226343/index.m3u8
IPTV8+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226344/index.m3u8
IPTV相声小品,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226346/index.m3u8
中央新影发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
中央新影老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
CCTV女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226237/index.m3u8
中国教育1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
